"edges","triangles","mean_triangles","density","mean_degree","components","mean_component_size","global_clustering_coefficient"
1036,4,0.012,0.002074074074074074,2.072,1,1000.0,0.009900990099009901
1054,7,0.021,0.00211011011011011,2.108,1,1000.0,0.015521064301552107
1032,6,0.018,0.002066066066066066,2.064,1,1000.0,0.01498751040799334
1041,1,0.003,0.0020840840840840842,2.082,1,1000.0,0.0024154589371980675
1046,5,0.015,0.002094094094094094,2.092,1,1000.0,0.011746280344557557
1033,4,0.012,0.0020680680680680683,2.066,1,1000.0,0.01
1035,2,0.006,0.002072072072072072,2.07,1,1000.0,0.004885993485342019
1037,6,0.018,0.002076076076076076,2.074,1,1000.0,0.014693877551020407
1036,5,0.015,0.002074074074074074,2.072,1,1000.0,0.012205044751830757
1051,10,0.03,0.002104104104104104,2.102,1,1000.0,0.02313030069390902
1035,7,0.021,0.002072072072072072,2.07,1,1000.0,0.0171990171990172
1026,0,0.0,0.0020540540540540542,2.052,1,1000.0,0.0
1050,14,0.042,0.002102102102102102,2.1,1,1000.0,0.031818181818181815
1046,10,0.03,0.002094094094094094,2.092,1,1000.0,0.022900763358778626
1035,9,0.027,0.002072072072072072,2.07,1,1000.0,0.021933387489845652
1040,8,0.024,0.002082082082082082,2.08,1,1000.0,0.019077901430842606
1035,5,0.015,0.002072072072072072,2.07,1,1000.0,0.012345679012345678
1027,7,0.021,0.002056056056056056,2.054,1,1000.0,0.017529215358931552
1034,9,0.027,0.00207007007007007,2.068,1,1000.0,0.022058823529411766
1037,5,0.015,0.002076076076076076,2.074,1,1000.0,0.012274959083469721
1049,4,0.012,0.0021001001001001002,2.098,1,1000.0,0.009230769230769232
1033,6,0.018,0.0020680680680680683,2.066,1,1000.0,0.014693877551020407
1034,2,0.006,0.00207007007007007,2.068,1,1000.0,0.004914004914004914
1035,8,0.024,0.002072072072072072,2.07,1,1000.0,0.019656019656019656
1041,4,0.012,0.0020840840840840842,2.082,1,1000.0,0.009554140127388535
1036,11,0.033,0.002074074074074074,2.072,1,1000.0,0.027340513670256836
1045,6,0.018,0.002092092092092092,2.09,1,1000.0,0.014029618082618862
1031,6,0.018,0.002064064064064064,2.062,1,1000.0,0.01498751040799334
1045,3,0.009,0.002092092092092092,2.09,1,1000.0,0.007148530579825258
1047,8,0.024,0.002096096096096096,2.094,1,1000.0,0.018561484918793503
1039,5,0.015,0.00208008008008008,2.078,1,1000.0,0.012145748987854251
1023,8,0.024,0.002048048048048048,2.046,1,1000.0,0.020689655172413793
1047,4,0.012,0.002096096096096096,2.094,1,1000.0,0.009287925696594427
1042,6,0.018,0.002086086086086086,2.084,1,1000.0,0.014446227929373997
1035,3,0.009,0.002072072072072072,2.07,1,1000.0,0.0072874493927125505
1037,1,0.003,0.002076076076076076,2.074,1,1000.0,0.0024232633279483036
1041,4,0.012,0.0020840840840840842,2.082,1,1000.0,0.00966183574879227
1037,2,0.006,0.002076076076076076,2.074,1,1000.0,0.0049301561216105174
1026,0,0.0,0.0020540540540540542,2.052,1,1000.0,0.0
1045,7,0.021,0.002092092092092092,2.09,1,1000.0,0.01647058823529412
1037,6,0.018,0.002076076076076076,2.074,1,1000.0,0.014754098360655738
1029,5,0.015,0.00206006006006006,2.058,1,1000.0,0.012520868113522538
1042,7,0.021,0.002086086086086086,2.084,1,1000.0,0.016773162939297124
1036,7,0.021,0.002074074074074074,2.072,1,1000.0,0.01721311475409836
1036,7,0.021,0.002074074074074074,2.072,1,1000.0,0.01708706265256306
1044,13,0.039,0.00209009009009009,2.088,1,1000.0,0.03046875
1036,4,0.012,0.002074074074074074,2.072,1,1000.0,0.009716599190283401
1036,8,0.024,0.002074074074074074,2.072,1,1000.0,0.019736842105263157
1044,8,0.024,0.00209009009009009,2.088,1,1000.0,0.01888276947285602
1045,11,0.033,0.002092092092092092,2.09,1,1000.0,0.026045777426992895
1052,5,0.015,0.002106106106106106,2.104,1,1000.0,0.011476664116296864
1046,3,0.009,0.002094094094094094,2.092,1,1000.0,0.006917755572636433
1037,8,0.024,0.002076076076076076,2.074,1,1000.0,0.01951219512195122
1053,4,0.012,0.002108108108108108,2.106,1,1000.0,0.009104704097116844
1037,6,0.018,0.002076076076076076,2.074,1,1000.0,0.014218009478672985
1036,11,0.033,0.002074074074074074,2.072,1,1000.0,0.026570048309178744
1034,4,0.012,0.00207007007007007,2.068,1,1000.0,0.009868421052631578
1036,3,0.009,0.002074074074074074,2.072,1,1000.0,0.007371007371007371
1038,2,0.006,0.002078078078078078,2.076,1,1000.0,0.004866180048661801
1033,4,0.012,0.0020680680680680683,2.066,1,1000.0,0.009771986970684038
1038,9,0.027,0.002078078078078078,2.076,1,1000.0,0.021634615384615384
1033,4,0.012,0.0020680680680680683,2.066,1,1000.0,0.009771986970684038
1036,3,0.009,0.002074074074074074,2.072,1,1000.0,0.007364975450081833
1038,4,0.012,0.002078078078078078,2.076,1,1000.0,0.009669621273166801
1041,9,0.027,0.0020840840840840842,2.082,1,1000.0,0.021686746987951807
1054,13,0.039,0.00211011011011011,2.108,1,1000.0,0.029213483146067417
1040,6,0.018,0.002082082082082082,2.08,1,1000.0,0.014274385408406027
1044,4,0.012,0.00209009009009009,2.088,1,1000.0,0.009478672985781991
1033,6,0.018,0.0020680680680680683,2.066,1,1000.0,0.01483924154987634
1043,2,0.006,0.002088088088088088,2.086,1,1000.0,0.004765687053216839
